PARTYEAR,Month_Ending,FY_Start_Date,FY_End_Date,TRETSPEF,TRETSPEF_DESCRIPTION,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance,Latest_Month_Flag
202107,31OCT21,01APR21,31MAR22,192,Intensive Care Medicine Service,3143,1373,3138,5,3,1216,1112,1277,879,120,388,491,1
202107,31OCT21,01APR21,31MAR22,199,"Non-UK Provider; specialty function not known, tre",695,0,695,0,0,201,77,49,0,8,0,0,1
202107,31OCT21,01APR21,31MAR22,211,Paediatric Urology Service,1511,1316,400,1111,1004,1486,107,10118,6922,1008,2187,4735,1
202107,31OCT21,01APR21,31MAR22,212,Paediatric Transplantation Surgery Service,20,12,13,7,3,16,2,14,10,0,1,9,1
202107,31OCT21,01APR21,31MAR22,213,Paediatric Gastrointestinal Surgery Service,6,6,1,5,5,6,0,13,12,0,7,5,1
202107,31OCT21,01APR21,31MAR22,214,Paediatric Trauma and Orthopaedic Service,1839,1468,1246,593,489,1767,563,42665,31014,3408,12655,18359,1
202107,31OCT21,01APR21,31MAR22,215,Paediatric Ear Nose and Throat Service,1944,1632,855,1089,990,1904,237,21811,14516,2045,5868,8648,1
202107,31OCT21,01APR21,31MAR22,216,Paediatric Ophthalmology Service,533,456,76,457,396,528,14,46099,31599,5583,8798,22801,1
202107,31OCT21,01APR21,31MAR22,217,Paediatric Oral and Maxillofacial Surgery Service,345,297,161,184,172,343,119,2325,1561,160,636,925,1
202107,31OCT21,01APR21,31MAR22,218,Paediatric Neurosurgery Service,669,512,503,166,152,542,161,2960,2340,150,521,1819,1
202107,31OCT21,01APR21,31MAR22,219,Paediatric Plastic Surgery Service,1426,1142,776,650,567,1409,486,10278,8162,690,2923,5239,1
202107,31OCT21,01APR21,31MAR22,220,Paediatric Burns Care Service,240,204,185,55,45,239,152,2369,2087,134,439,1648,1
202107,31OCT21,01APR21,31MAR22,221,Paediatric Cardiac Surgery Service,234,173,231,3,3,123,12,163,124,17,71,53,1
202107,31OCT21,01APR21,31MAR22,222,Paediatric Thoracic Surgery Service,,,,,,,,19,19,0,7,12,1
202107,31OCT21,01APR21,31MAR22,223,Paediatric Epilepsy Service,63,37,38,25,16,59,13,5416,3921,443,693,3228,1
202107,31OCT21,01APR21,31MAR22,240,Paediatric Palliative Medicine Service,,,,,,,,26,7,1,1,6,1
202107,31OCT21,01APR21,31MAR22,241,Paediatric Pain Management Service,10,8,1,9,8,10,1,424,332,31,75,241,1
202107,31OCT21,01APR21,31MAR22,242,Paediatric Intensive Care Service,804,502,803,1,1,412,320,124,115,8,15,100,1
202107,31OCT21,01APR21,31MAR22,251,Paediatric Gastroenterology Service,2513,2163,508,2005,1799,2459,143,13176,8993,1002,2061,6932,1
202107,31OCT21,01APR21,31MAR22,252,Paediatric Endocrinology Service,992,898,146,846,788,976,20,10088,7205,896,1373,5832,1
202107,31OCT21,01APR21,31MAR22,253,Paediatric Clinical Haematology Service,2525,2096,505,2020,1858,2440,253,8551,6580,574,900,5680,1
202107,31OCT21,01APR21,31MAR22,254,Paediatric Audio Vestibular Medicine Service,33,29,4,29,26,32,0,8495,5860,756,2277,3583,1
202107,31OCT21,01APR21,31MAR22,255,Paediatric Clinical Immunology and Allergy Service,890,622,44,846,597,876,10,10875,7010,822,2303,4707,1
202107,31OCT21,01APR21,31MAR22,256,Paediatric Infectious Diseases Service,95,45,41,54,25,75,16,1070,723,112,257,466,1
202107,31OCT21,01APR21,31MAR22,257,Paediatric Dermatology Service,259,158,33,226,131,258,2,17527,11185,1740,3580,7605,1
202107,31OCT21,01APR21,31MAR22,258,Paediatric Respiratory Medicine Service,1907,882,1618,289,243,1693,818,16087,11277,1526,3592,7685,1
202107,31OCT21,01APR21,31MAR22,259,Paediatric Nephrology Service,968,654,272,696,526,907,109,6843,5112,443,550,4562,1
202107,31OCT21,01APR21,31MAR22,260,Paediatric Medical Oncology Service,4048,3071,1178,2870,2423,3906,487,7405,6130,295,321,5809,1
202107,31OCT21,01APR21,31MAR22,261,Paediatric Inherited Metabolic Medicine Service,209,156,87,122,111,202,36,2069,1348,137,134,1214,1
202107,31OCT21,01APR21,31MAR22,262,Paediatric Rheumatology Service,839,632,77,762,573,833,17,5880,4325,440,882,3358,1
202107,31OCT21,01APR21,31MAR22,263,Paediatric Diabetes Service,133,7,125,8,4,87,71,13785,10366,983,405,9961,1
202107,31OCT21,01APR21,31MAR22,264,Paediatric Cystic Fibrosis Service,85,58,47,38,32,79,15,1736,1304,61,34,1270,1
202107,31OCT21,01APR21,31MAR22,280,Paediatric Interventional Radiology Service,61,57,26,35,33,52,0,293,208,1,43,165,1
202107,31OCT21,01APR21,31MAR22,290,Community Paediatric Service,31,21,5,26,20,31,3,30324,23107,2616,4756,18351,1
202107,31OCT21,01APR21,31MAR22,291,Paediatric Neurodisability Service,39,34,10,29,27,38,1,7167,5269,608,1288,3981,1
202107,31OCT21,01APR21,31MAR22,300,General Internal Medicine Service,301286,72151,284574,16712,12772,213622,194186,123907,104426,6659,50893,53533,1
202107,31OCT21,01APR21,31MAR22,301,Gastroenterology Service,123762,95843,25718,98044,87270,104080,4140,253481,187407,18874,65133,122246,1
202107,31OCT21,01APR21,31MAR22,302,Endocrinology Service,12335,4244,9667,2668,2302,5450,2610,85971,59757,7382,14468,45288,1
202107,31OCT21,01APR21,31MAR22,303,Clinical Haematology Service,53359,44599,7050,46309,41100,51264,2785,216613,175083,10042,20267,154815,1
202107,31OCT21,01APR21,31MAR22,304,Clinical Physiology Service,11,9,4,7,7,9,2,60347,46857,3570,24196,22661,1
202107,31OCT21,01APR21,31MAR22,305,Clinical Pharmacology Service,456,228,374,82,73,229,91,1660,1207,129,311,896,1
202107,31OCT21,01APR21,31MAR22,306,Hepatology Service,3320,1792,1988,1332,1016,1915,222,41946,29068,5080,6046,23018,1
202107,31OCT21,01APR21,31MAR22,307,Diabetes Service,6366,1422,6028,338,249,2473,2104,123404,91508,13011,13896,77612,1
202107,31OCT21,01APR21,31MAR22,308,Blood and Marrow Transplantation Service,515,415,200,315,277,488,39,3440,2881,108,151,2730,1
202107,31OCT21,01APR21,31MAR22,309,Haemophilia Service,208,184,45,163,157,206,34,4231,3061,468,351,2710,1
202107,31OCT21,01APR21,31MAR22,310,Audio Vestibular Medicine Service,2,2,0,2,2,2,0,36002,27703,1837,8840,18863,1
202107,31OCT21,01APR21,31MAR22,311,Clinical Genetics Service,13,10,2,11,9,12,0,8831,6963,580,3990,2973,1
202107,31OCT21,01APR21,31MAR22,313,Clinical Immunology and Allergy Service,749,517,8,741,511,749,4,5030,3326,468,1156,2170,1
202107,31OCT21,01APR21,31MAR22,314,Rehabilitation Medicine Service,4522,1958,4378,144,59,2406,410,26740,19433,2009,4579,14854,1
202107,31OCT21,01APR21,31MAR22,315,Palliative Medicine Service,895,136,889,6,6,340,210,10167,9199,246,1748,7451,1
202107,31OCT21,01APR21,31MAR22,316,Clinical Immunology Service,572,557,6,566,554,571,1,3585,2473,250,349,2124,1
202107,31OCT21,01APR21,31MAR22,317,Allergy Service,685,648,3,682,645,683,0,11361,7588,1210,2754,4834,1
202107,31OCT21,01APR21,31MAR22,318,Intermediate Care Service,864,279,864,0,0,350,38,79451,78593,617,10902,67691,1
202107,31OCT21,01APR21,31MAR22,319,Respite Care Service,234,0,234,0,0,234,0,,,,,,
202107,31OCT21,01APR21,31MAR22,320,Cardiology Service,52856,29267,38232,14624,12342,30026,11122,377389,289610,25260,126167,163405,1
202107,31OCT21,01APR21,31MAR22,321,Paediatric Cardiology Service,905,709,547,358,319,739,103,19532,14246,1280,4360,9886,1
202107,31OCT21,01APR21,31MAR22,322,Clinical Microbiology Service,34,12,20,14,9,23,5,11899,9872,682,6513,1773,1
202107,31OCT21,01APR21,31MAR22,323,Spinal Injuries Service,226,177,195,31,29,190,24,2440,1843,153,170,1673,1
202107,31OCT21,01APR21,31MAR22,324,Anticoagulant Service,3,2,3,0,0,3,2,62596,53472,3968,4536,48936,1
202107,31OCT21,01APR21,31MAR22,325,Sport and Exercise Medicine Service,855,130,849,6,6,793,783,1573,935,120,396,539,1
202107,31OCT21,01APR21,31MAR22,326,Acute Internal Medicine Service,6355,959,6348,7,6,4763,4741,2841,2663,100,1919,744,1
202107,31OCT21,01APR21,31MAR22,327,Cardiac Rehabilitation Service,,,,,,,,11148,8681,751,1608,7073,1
202107,31OCT21,01APR21,31MAR22,328,Stroke Medicine Service,11860,4815,11807,53,19,5399,5095,9942,7350,659,3565,3785,1
202107,31OCT21,01APR21,31MAR22,329,Transient Ischaemic Attack Service,156,78,155,1,1,107,103,9248,7729,302,6240,1489,1
202107,31OCT21,01APR21,31MAR22,330,Dermatology Service,11878,9626,260,11618,9472,11833,43,354930,259302,24143,88923,170374,1
202107,31OCT21,01APR21,31MAR22,331,Congenital Heart Disease Service,82,66,57,25,25,77,15,4871,2751,347,679,2072,1
202107,31OCT21,01APR21,31MAR22,340,Respiratory Medicine Service,45783,13992,40144,5639,4241,16872,10206,220200,162417,17879,51479,110938,1
202107,31OCT21,01APR21,31MAR22,341,Respiratory Physiology Service,480,382,412,68,45,430,21,53419,40291,4956,13661,26630,1
202107,31OCT21,01APR21,31MAR22,342,Pulmonary Rehabilitation Service,,,,,,,,3253,2630,164,429,2201,1
202107,31OCT21,01APR21,31MAR22,343,Adult Cystic Fibrosis Service,409,170,228,181,76,347,80,2093,1518,215,54,1464,1
202107,31OCT21,01APR21,31MAR22,344,Complex Specialised Rehabilitation Service,38,36,38,0,0,13,2,1030,912,75,193,719,1
202107,31OCT21,01APR21,31MAR22,345,Specialist Rehabilitation Service,20,14,20,0,0,7,1,688,556,84,32,524,1
202107,31OCT21,01APR21,31MAR22,346,Local Specialist Rehabilitation Service,23,11,23,0,0,7,1,127,114,13,18,96,1
202107,31OCT21,01APR21,31MAR22,347,Sleep Medicine Service,,,,,,,,291,224,15,18,206,1
202107,31OCT21,01APR21,31MAR22,348,Post-COVID-19 Syndrome Service,,,,,,,,937,672,122,397,275,1
202107,31OCT21,01APR21,31MAR22,350,Infectious Diseases Service,3505,1020,3129,376,297,1400,974,50589,37119,5195,13659,23454,1
202107,31OCT21,01APR21,31MAR22,352,Tropical Medicine Service,70,35,70,0,0,48,47,424,374,44,153,221,1
202107,31OCT21,01APR21,31MAR22,360,Genitourinary Medicine Service,103,48,80,23,23,46,15,9733,7695,913,1260,6435,1
202107,31OCT21,01APR21,31MAR22,361,Renal Medicine Service,14874,7266,10814,4060,3085,8608,3155,110237,84408,7354,8533,75875,1
202107,31OCT21,01APR21,31MAR22,370,Medical Oncology Service,36174,30093,5400,30774,27333,35284,3316,202479,169520,4332,13264,156256,1
202107,31OCT21,01APR21,31MAR22,371,Nuclear Medicine Service,40,36,31,9,9,40,0,3962,3010,119,1464,1546,1
202107,31OCT21,01APR21,31MAR22,400,Neurology Service,12912,10370,4610,8302,7622,11405,1976,178312,124074,13994,38011,86063,1
202107,31OCT21,01APR21,31MAR22,401,Clinical Neurophysiology Service,146,94,22,124,74,146,1,22094,17799,1802,16334,1465,1
202107,31OCT21,01APR21,31MAR22,410,Rheumatology Service,10874,9000,1124,9750,8578,10333,272,242392,170485,15604,28711,141769,1
202107,31OCT21,01APR21,31MAR22,420,Paediatric Service,77820,10684,73821,3999,2571,73556,62005,189131,140159,16195,66850,73282,1
202107,31OCT21,01APR21,31MAR22,421,Paediatric Neurology Service,1069,793,366,703,577,974,120,11028,7831,827,1808,6023,1
202107,31OCT21,01APR21,31MAR22,422,Neonatal Critical Care Service,14041,4768,14030,11,9,10903,736,9309,7251,703,2699,4552,1
202107,31OCT21,01APR21,31MAR22,424,Well Baby Service,38784,1553,38777,7,1,38222,323,2902,2215,340,792,1423,1
202107,31OCT21,01APR21,31MAR22,430,Elderly Medicine Service,70072,15916,68984,1088,694,24945,22966,37741,27311,2497,11854,15456,1
202107,31OCT21,01APR21,31MAR22,431,Orthogeriatric Medicine Service,9,1,9,0,0,7,7,,,,,,
202107,31OCT21,01APR21,31MAR22,450,Dental Medicine Service,331,254,24,307,241,330,13,10134,7524,914,2584,4940,1
202107,31OCT21,01APR21,31MAR22,451,Special Care Dentistry Service,94,88,1,93,87,94,0,42,28,3,5,23,1
202107,31OCT21,01APR21,31MAR22,460,Medical Ophthalmology Service,613,600,3,610,599,612,1,10591,8095,843,1417,6678,1
202107,31OCT21,01APR21,31MAR22,499,"Non-UK Provider; specialty function not known, tre",3,0,3,0,0,3,3,,,,,,
202107,31OCT21,01APR21,31MAR22,501,Obstetrics Service,84373,43251,83948,425,336,81402,1408,347882,284744,20626,70380,214296,1
202107,31OCT21,01APR21,31MAR22,502,Gynaecology Service,39552,22924,25584,13968,11530,38218,15913,367865,275754,22687,130830,144922,1
202107,31OCT21,01APR21,31MAR22,503,Gynaecological Oncology Service,1758,1453,1284,474,402,1659,112,26954,20581,1462,8419,12162,1
202107,31OCT21,01APR21,31MAR22,505,Fetal Medicine Service,7,7,0,7,7,7,0,3142,2490,140,873,1617,1
202107,31OCT21,01APR21,31MAR22,560,Midwifery Service,18243,6851,18231,12,4,17453,189,307062,245264,17668,51582,193602,1
202107,31OCT21,01APR21,31MAR22,650,Physiotherapy Service,146,48,110,36,34,93,50,406375,317799,33964,96136,221629,1
202107,31OCT21,01APR21,31MAR22,651,Occupational Therapy Service,,,,,,,,42986,34621,3582,10623,23998,1
202107,31OCT21,01APR21,31MAR22,652,Speech and Language Therapy Service,1,0,1,0,0,1,0,18324,15528,860,3364,12145,1
202107,31OCT21,01APR21,31MAR22,653,Podiatry Service,160,136,4,156,132,160,1,57905,44711,3350,6597,38114,1
202107,31OCT21,01APR21,31MAR22,654,Dietetics Service,2,1,1,1,1,2,1,61805,49151,4974,14370,34781,1
202107,31OCT21,01APR21,31MAR22,655,Orthoptics Service,3,1,1,2,1,3,0,50311,33940,6258,8729,25211,1
202107,31OCT21,01APR21,31MAR22,656,Clinical Psychology Service,1,0,1,0,0,0,0,16769,13458,1354,2372,11086,1
202107,31OCT21,01APR21,31MAR22,657,Prosthetics Service,,,,,,,,1154,878,67,113,765,1
202107,31OCT21,01APR21,31MAR22,658,Orthotics Service,2,2,2,0,0,2,2,27712,21265,1866,7713,13552,1
202107,31OCT21,01APR21,31MAR22,659,Dramatherapy Service,,,,,,,,1,1,0,1,0,1
202107,31OCT21,01APR21,31MAR22,661,Music Therapy Service,,,,,,,,2,2,0,0,2,1
202107,31OCT21,01APR21,31MAR22,662,Optometry Service,,,,,,,,9005,6352,917,2043,4309,1
202107,31OCT21,01APR21,31MAR22,663,Podiatric Surgery Service,222,162,14,208,155,222,1,3409,2117,212,497,1620,1
202107,31OCT21,01APR21,31MAR22,675,Cardiac Physiology Service,,,,,,,,1267,1137,75,262,873,1
202107,31OCT21,01APR21,31MAR22,700,Learning Disability Service,250,0,250,0,0,238,65,10766,8821,920,2611,6210,1
202107,31OCT21,01APR21,31MAR22,710,Adult Mental Health Service,3640,13,3640,0,0,2624,2013,100781,76790,11336,10374,66416,1
202107,31OCT21,01APR21,31MAR22,711,Child and Adolescent Psychiatry Service,67,1,67,0,0,52,18,29559,23741,2911,4339,19402,1
202107,31OCT21,01APR21,31MAR22,712,Forensic Psychiatry Service,79,0,79,0,0,39,8,1129,1002,70,149,853,1
202107,31OCT21,01APR21,31MAR22,713,Medical Psychotherapy Service,15,14,1,14,14,15,0,4906,3672,340,420,3252,1
202107,31OCT21,01APR21,31MAR22,715,Old Age Psychiatry Service,682,10,679,3,3,504,298,13939,10592,585,2583,8009,1
202107,31OCT21,01APR21,31MAR22,720,Eating Disorders Service,8,0,8,0,0,7,0,1433,1005,70,92,913,1
202107,31OCT21,01APR21,31MAR22,721,Addiction Service,39,24,39,0,0,38,1,239,122,65,49,73,1
202107,31OCT21,01APR21,31MAR22,722,Liaison Psychiatry Service,2,0,2,0,0,2,2,969,859,53,329,530,1
202107,31OCT21,01APR21,31MAR22,723,Psychiatric Intensive Care Service,15,0,15,0,0,7,3,,,,,,
202107,31OCT21,01APR21,31MAR22,724,Perinatal Mental Health Service,13,0,13,0,0,10,3,645,421,101,67,354,1
202107,31OCT21,01APR21,31MAR22,725,Mental Health Recovery and Rehabilitation Service,,,,,,,,343,208,43,23,185,1
202107,31OCT21,01APR21,31MAR22,727,Dementia Assessment Service,0,0,0,0,0,0,0,281,255,18,32,223,1
202107,31OCT21,01APR21,31MAR22,800,Clinical Oncology Service,31792,25637,4389,27403,23660,30677,2288,258250,225448,4924,33656,191789,1
202107,31OCT21,01APR21,31MAR22,811,Interventional Radiology Service,5365,4069,1294,4071,3234,4599,74,8473,7245,342,4531,2714,1
202107,31OCT21,01APR21,31MAR22,812,Diagnostic Imaging Service,789,618,92,697,540,745,5,414679,392784,4694,190255,202529,1
202107,31OCT21,01APR21,31MAR22,822,Chemical Pathology Service,274,175,41,233,162,271,5,7358,5019,638,1391,3628,1
202107,31OCT21,01APR21,31MAR22,834,Medical Virology Service,4,2,2,2,1,4,1,25968,20604,1547,16221,4383,1
202107,31OCT21,01APR21,31MAR22,840,Audiology Service,1,1,1,0,0,1,1,126654,111513,6478,44849,66650,1
202107,31OCT21,01APR21,31MAR22,920,Diabetic Education Service,,,,,,,,311,260,12,106,154,1
202107,30SEP21,01APR21,31MAR22,&,Not Known,213,32,204,9,8,161,26,9940,7595,1036,1344,6251,1
202107,30SEP21,01APR21,31MAR22,100,General Surgery Service,105724,70696,68993,36731,34256,94518,50154,248756,192716,14907,76748,115968,1
202107,30SEP21,01APR21,31MAR22,101,Urology Service,53710,43028,24946,28764,26219,49911,11629,338220,250449,20870,72101,178344,1
202107,30SEP21,01APR21,31MAR22,102,Transplant Surgery Service,997,720,787,210,194,751,289,10250,8035,783,712,7323,1
202107,30SEP21,01APR21,31MAR22,103,Breast Surgery Service,6593,6309,2101,4492,4330,6509,115,159463,128261,7346,61729,66532,1
202107,30SEP21,01APR21,31MAR22,104,Colorectal Surgery Service,24757,20813,8447,16310,15554,22609,3556,116011,88200,6806,40420,47780,1
202107,30SEP21,01APR21,31MAR22,105,Hepatobiliary and Pancreatic Surgery Service,2530,1614,2163,367,339,1624,542,9909,7344,567,1989,5355,1
202107,30SEP21,01APR21,31MAR22,106,Upper Gastrointestinal Surgery Service,8295,6492,4090,4205,3911,7262,1976,23720,17625,1731,7520,10105,1
202107,30SEP21,01APR21,31MAR22,107,Vascular Surgery Service,7882,6008,5283,2599,2312,6548,2180,60694,42623,4543,18293,24330,1
202107,30SEP21,01APR21,31MAR22,108,Spinal Surgery Service,4123,3450,2239,1884,1787,3796,673,36269,27776,2193,8810,18966,1
202107,30SEP21,01APR21,31MAR22,109,Bariatric Surgery Service,55,49,52,3,3,53,0,723,614,71,86,528,1
202107,30SEP21,01APR21,31MAR22,110,Trauma and Orthopaedic Service,77129,64618,50389,26740,25092,70250,23278,769482,600308,50921,217669,382624,1
202107,30SEP21,01APR21,31MAR22,111,Orthopaedic Service,3,1,3,0,0,1,1,29,8,4,0,8,1
202107,30SEP21,01APR21,31MAR22,113,Endocrine Surgery Service,6,5,6,0,0,6,0,430,215,15,106,109,1
202107,30SEP21,01APR21,31MAR22,115,Trauma Surgery Service,198,163,188,10,10,187,160,3602,2642,442,1070,1572,1
202107,30SEP21,01APR21,31MAR22,120,Ear Nose and Throat Service,18804,14554,9922,8882,8232,18075,5657,290842,205369,23710,85839,119525,1
202107,30SEP21,01APR21,31MAR22,130,Ophthalmology Service,66755,63419,2701,64054,61536,66278,1075,860406,651764,63341,164627,487053,1
202107,30SEP21,01APR21,31MAR22,140,Oral Surgery Service,10062,9276,1471,8591,8101,9894,732,89117,63184,8099,27700,35484,1
202107,30SEP21,01APR21,31MAR22,141,Restorative Dentistry Service,344,330,10,334,322,343,1,29944,21826,2173,3776,18050,1
202107,30SEP21,01APR21,31MAR22,142,Paediatric Dentistry Service,1640,1416,35,1605,1390,1640,7,11162,7875,1049,2638,5237,1
202107,30SEP21,01APR21,31MAR22,143,Orthodontic Service,42,38,4,38,37,39,2,70835,50865,5189,3958,46907,1
202107,30SEP21,01APR21,31MAR22,144,Maxillofacial Surgery Service,7152,6209,2556,4596,4273,6998,1506,59068,41090,5331,14602,26488,1
202107,30SEP21,01APR21,31MAR22,145,Oral and Maxillofacial Surgery Service,323,294,76,247,234,322,46,2710,2050,180,744,1303,1
202107,30SEP21,01APR21,31MAR22,150,Neurosurgical Service,6553,5224,5529,1024,931,5219,1851,42455,31002,2398,9858,21144,1
202107,30SEP21,01APR21,31MAR22,160,Plastic Surgery Service,17723,15861,5574,12149,11492,17394,3476,115370,85731,7409,27567,58164,1
202107,30SEP21,01APR21,31MAR22,161,Burns Care Service,416,267,381,35,31,392,296,6581,5273,475,1296,3977,1
202107,30SEP21,01APR21,31MAR22,170,Cardiothoracic Surgery Service,791,628,778,13,12,521,107,4861,3728,190,1201,2527,1
202107,30SEP21,01APR21,31MAR22,171,Paediatric Surgery Service,4104,3179,2405,1699,1561,3787,1339,20908,14434,1676,6540,7894,1
202107,30SEP21,01APR21,31MAR22,172,Cardiac Surgery Service,2198,1732,2178,20,17,1579,262,7752,6088,316,1734,4354,1
202107,30SEP21,01APR21,31MAR22,173,Thoracic Surgery Service,2098,1781,1972,126,119,1894,301,7338,5938,366,1609,4329,1
202107,30SEP21,01APR21,31MAR22,174,Cardiothoracic Transplantation Service,205,175,158,47,44,190,53,1413,1018,41,61,957,1
202107,30SEP21,01APR21,31MAR22,180,Emergency Medicine Service,44740,10044,44662,78,56,44066,43943,18739,16836,834,13268,3568,1
202107,30SEP21,01APR21,31MAR22,190,Anaesthetic Service,1158,798,537,621,448,878,181,108003,86064,4839,37887,48177,1
202107,30SEP21,01APR21,31MAR22,191,Pain Management Service,11539,11049,224,11315,10857,11442,49,85085,64461,7466,15939,48522,1
202107,30SEP21,01APR21,31MAR22,192,Intensive Care Medicine Service,3298,1942,3296,2,2,1203,1097,2095,1583,139,1047,536,1
202107,30SEP21,01APR21,31MAR22,199,"Non-UK Provider; specialty function not known, tre",672,0,672,0,0,163,40,46,0,19,0,0,1
202107,30SEP21,01APR21,31MAR22,211,Paediatric Urology Service,1570,1393,377,1193,1085,1550,124,10422,7003,1076,2280,4723,1
202107,30SEP21,01APR21,31MAR22,212,Paediatric Transplantation Surgery Service,14,7,8,6,0,12,1,16,10,0,1,9,1
202107,30SEP21,01APR21,31MAR22,213,Paediatric Gastrointestinal Surgery Service,4,4,1,3,3,4,0,15,10,1,8,2,1
202107,30SEP21,01APR21,31MAR22,214,Paediatric Trauma and Orthopaedic Service,2128,1821,1461,667,599,2022,746,45129,32617,3759,13681,18936,1
